Time,Quadrant Number,Ball Colour,Type
87.34028928683632,4,orange,Exit
87.34028928683632,4,green,Entry
87.34028928683632,2,white,Exit
87.37357445805844,4,orange,Exit
87.37357445805844,4,green,Entry
87.37357445805844,4,yellow,Exit
87.37357445805844,2,white,Entry
87.40685962928056,4,orange,Entry
87.40685962928056,4,green,Exit
87.40685962928056,2,white,Exit
87.44014480050268,4,orange,Entry
87.44014480050268,4,green,Exit
87.44014480050268,4,white,Entry
87.4734299717248,4,orange,Exit
87.4734299717248,4,green,Entry
87.4734299717248,2,white,Entry
87.50671514294692,4,orange,Exit
87.50671514294692,4,green,Entry
87.50671514294692,2,white,Exit
87.54000031416903,4,orange,Exit
87.54000031416903,4,green,Entry
87.54000031416903,2,white,Entry
87.57328548539114,4,orange,Exit
87.57328548539114,4,green,Entry
87.57328548539114,2,white,Exit
87.60657065661326,4,orange,Exit
87.60657065661326,4,green,Entry
87.60657065661326,4,yellow,Exit
87.60657065661326,2,white,Entry
87.63985582783538,4,orange,Entry
87.63985582783538,4,green,Exit
87.63985582783538,2,white,Exit
87.6731409990575,1,orange,Entry
87.6731409990575,1,green,Exit
87.6731409990575,2,white,Entry
87.70642617027961,1,orange,Entry
87.70642617027961,1,green,Exit
87.70642617027961,2,white,Exit
87.73971134150173,1,orange,Entry
87.73971134150173,1,green,Exit
87.73971134150173,2,white,Entry
87.77299651272385,1,orange,Entry
87.77299651272385,1,green,Exit
87.77299651272385,2,white,Exit
87.80628168394597,1,orange,Entry
87.80628168394597,1,green,Exit
87.80628168394597,2,white,Entry
87.83956685516809,3,orange,Exit
87.83956685516809,3,green,Entry
87.83956685516809,2,white,Exit
87.8728520263902,1,orange,Entry
87.8728520263902,1,green,Exit
87.8728520263902,2,white,Entry
87.90613719761232,1,orange,Entry
87.90613719761232,1,green,Exit
87.90613719761232,2,white,Exit
87.93942236883444,1,orange,Entry
87.93942236883444,1,green,Exit
87.93942236883444,2,white,Entry
87.97270754005656,1,orange,Entry
87.97270754005656,1,green,Exit
87.97270754005656,2,white,Exit
88.00599271127868,1,orange,Entry
88.00599271127868,1,green,Exit
88.00599271127868,2,white,Entry
88.03927788250078,1,orange,Entry
88.03927788250078,1,green,Exit
88.03927788250078,2,white,Exit
88.0725630537229,1,orange,Entry
88.0725630537229,1,green,Exit
88.0725630537229,2,white,Entry
88.10584822494502,1,orange,Entry
88.10584822494502,1,green,Exit
88.10584822494502,2,white,Exit
88.13913339616714,1,orange,Entry
88.13913339616714,1,green,Exit
88.13913339616714,2,white,Entry
88.17241856738926,1,orange,Entry
88.17241856738926,1,green,Exit
88.17241856738926,2,white,Exit
88.20570373861138,1,orange,Entry
88.20570373861138,1,green,Exit
88.20570373861138,2,white,Entry
88.2389889098335,1,orange,Entry
88.2389889098335,1,green,Exit
88.2389889098335,2,white,Exit
88.27227408105561,1,orange,Entry
88.27227408105561,1,green,Exit
88.27227408105561,2,white,Entry
88.30555925227773,1,orange,Entry
88.30555925227773,1,green,Exit
88.30555925227773,2,white,Exit
88.33884442349985,3,orange,Exit
88.33884442349985,3,green,Entry
88.33884442349985,2,white,Entry
88.37212959472197,1,orange,Entry
88.37212959472197,1,green,Exit
88.37212959472197,2,white,Exit
88.40541476594409,1,orange,Entry
88.40541476594409,1,green,Exit
88.40541476594409,2,white,Entry
88.4386999371662,1,orange,Entry
88.4386999371662,1,green,Exit
88.4386999371662,2,white,Exit
88.47198510838832,1,orange,Entry
88.47198510838832,1,green,Exit
88.47198510838832,2,white,Entry
88.50527027961043,1,orange,Entry
88.50527027961043,1,green,Exit
88.50527027961043,2,white,Exit
88.53855545083255,1,orange,Entry
88.53855545083255,1,green,Exit
88.53855545083255,2,white,Entry
88.57184062205467,1,orange,Entry
88.57184062205467,1,green,Exit
88.57184062205467,2,white,Exit
88.60512579327678,1,orange,Entry
88.60512579327678,1,green,Exit
88.60512579327678,2,white,Entry
88.6384109644989,1,orange,Entry
88.6384109644989,1,green,Exit
88.6384109644989,2,white,Exit
88.67169613572102,1,orange,Entry
88.67169613572102,1,green,Exit
88.67169613572102,2,white,Entry
88.70498130694314,1,orange,Entry
88.70498130694314,1,green,Exit
88.70498130694314,2,white,Exit
88.73826647816526,1,orange,Entry
88.73826647816526,1,green,Exit
88.73826647816526,2,white,Entry
88.77155164938738,1,orange,Entry
88.77155164938738,1,green,Exit
88.77155164938738,2,white,Exit
88.8048368206095,1,orange,Entry
88.8048368206095,1,green,Exit
88.8048368206095,2,white,Entry
88.83812199183161,1,orange,Entry
88.83812199183161,1,green,Exit
88.83812199183161,2,white,Exit
88.87140716305373,4,orange,Entry
88.87140716305373,4,green,Exit
88.87140716305373,2,white,Entry
88.90469233427585,4,orange,Entry
88.90469233427585,4,green,Exit
88.90469233427585,2,white,Exit
88.93797750549797,1,orange,Entry
88.93797750549797,1,green,Exit
88.93797750549797,2,white,Entry
88.97126267672009,1,orange,Entry
88.97126267672009,1,green,Exit
88.97126267672009,2,white,Exit
89.00454784794219,1,orange,Entry
89.00454784794219,1,green,Exit
89.00454784794219,2,white,Entry
89.03783301916431,2,orange,Exit
89.03783301916431,2,green,Entry
89.03783301916431,2,white,Exit
89.07111819038643,1,orange,Entry
89.07111819038643,1,green,Exit
89.07111819038643,2,white,Entry
89.10440336160855,2,orange,Exit
89.10440336160855,2,green,Entry
89.10440336160855,3,yellow,Exit
89.10440336160855,2,white,Exit
89.13768853283067,1,orange,Entry
89.13768853283067,1,green,Exit
89.13768853283067,2,white,Entry
89.17097370405278,1,orange,Entry
89.17097370405278,1,green,Exit
89.17097370405278,2,white,Exit
89.2042588752749,2,orange,Entry
89.2042588752749,2,green,Exit
89.2042588752749,2,white,Entry
89.23754404649702,1,orange,Entry
89.23754404649702,1,green,Exit
89.23754404649702,2,white,Exit
89.27082921771914,1,orange,Entry
89.27082921771914,1,green,Exit
89.27082921771914,2,white,Entry
89.30411438894126,1,orange,Entry
89.30411438894126,1,green,Exit
89.30411438894126,2,white,Exit
89.33739956016338,1,orange,Entry
89.33739956016338,1,green,Exit
89.33739956016338,2,white,Entry
89.3706847313855,1,orange,Entry
89.3706847313855,1,green,Exit
89.3706847313855,2,white,Exit
89.40396990260761,1,orange,Entry
89.40396990260761,1,green,Exit
89.40396990260761,2,white,Entry
89.43725507382973,1,orange,Entry
89.43725507382973,1,green,Exit
89.43725507382973,2,white,Exit
89.47054024505184,1,orange,Entry
89.47054024505184,1,green,Exit
89.47054024505184,2,white,Entry
89.50382541627395,1,orange,Entry
89.50382541627395,1,green,Exit
89.50382541627395,2,white,Exit
